row,Scene,Lat,Lon,Comment
0,LC80020172013148LGN00,61.199488225361,-45.204963684082,cloud
1,LC82330172013230LGN00,61.1953529618127,-45.1980972290039,plume
2,LC80010172013237LGN00,61.1940295628274,-45.2324295043945,cloud
3,LC80020172013244LGN00,61.1943604177853,-45.2015304565429,ice
4,LC82330172013246LGN00,61.1942115332318,-45.1955223083496,ice
5,LC80010172013269LGN00,61.1953033348491,-45.2006721496582,ice
6,LC80020172013276LGN00,61.1942280757142,-45.1972389221191,plume
7,LC82330172013278LGN00,61.1939799337792,-45.1965522766113,plume
8,LC80010172013285LGN00,1.19613043228895,-45.2034187316894,ice
9,LC82330172013294LGN00,61.1976191529614,-45.2065086364746,ice
10,LC80010172013301LGN00,61.1949724897932,-45.1946640014648,ice
11,LC82330172014121LGN00,61.1971229205542,-45.1967239379882,cloud
12,LC80010172014128LGN00,61.1961304322889,-45.1948356628418,cloud
13,LC80020172014135LGN00,61.1945589285874,-45.2051353454589,ice
14,LC82330172014137LGN00,61.1948070659623,-45.2037620544433,ice
15,LC80010172014144LGN00,61.1942280757142,-45.2075386047363,plume
16,LC80020172014151LGN00,61.1939799337792,-45.2126884460449,cloud
17,LC82330172014153LGN00,61.1919947279414,-45.1987838745117,ice
18,LC80010172014160LGN00,61.1944762156949,-45.1972389221191,ice
19,LC80020172014167LGN00,61.1939799337792,-45.2078819274902,cloud
20,LC80020172014183LGN00,61.1952206239109,-45.2023887634277,ice
21,LC80010172014192LGN00,61.1949724897932,-45.1989555358886,ice
22,LC80020172014199LGN00,61.1929873464955,-45.1927757263183,plume
23,LC82330172014201LGN00,61.1949724897932,-45.1989555358886,ice
24,LC80010172014208LGN00,61.1964612651849,-45.197582244873,cloud
25,LC80020172014215LGN00,61.1948070659623,-45.1960372924804,ice
26,LC82330172014217LGN00,61.1945589285874,-45.1955223083496,ice
27,LC80010172014224LGN00,61.1969575080147,-45.2003288269043,plume
28,LC80020172014231LGN00,61.1967920946066,-45.2020454406738,plume
29,LC82330172014233LGN00,61.1964612651849,-45.2017021179199,plume
30,LC82330172014249LGN00,61.1972056264982,-45.1980972290039,ice
31,LC82330172014265LGN00,61.1974537430275,-45.1996421813964,ice
32,LC80010172014272LGN00,61.1981153775519,-45.1872825622558,cloud
33,LC80020172014279LGN00,61.1954687560742,-45.1898574829101,cloud
34,LC80010172014288LGN00,61.1962131408386,-45.2041053771972,ice
35,LC80020172014295LGN00,61.1959650145381,-45.1992988586425,cloud
36,LC82330172014297LGN00,61.1976191529614,-45.204963684082,ice
37,LC80020172015122LGN00,61.1962131408386,-45.1982688903808,cloud
38,LC82330172015124LGN00,61.1939799337792,-45.201358795166,ice
39,LC82330172015140LGN00,61.193235496248,-45.2006721496582,ice
40,LC80010172015147LGN00,61.1946416412629,-45.2008438110351,ice
41,LC80020172015154LGN00,61.1949724897932,-45.2027320861816,ice
42,LC80020172015170LGN00,61.1933182123979,-45.2023887634277,ice
43,LC82330172015172LGN00,61.1938972193666,-45.2010154724121,plume
44,LC80010172015179LGN00,61.1933182123979,-45.2037620544433,ice
45,LC80020172015186LGN00,61.1943107892582,-45.1999855041503,ice
46,LC82330172015188LGN00,61.1948070659623,-45.2044486999511,ice
47,LC80010172015195LGN00,61.1933182123979,-45.1962089538574,ice
48,LC80020172015202LGN00,61.1928219122414,-45.193977355957,cloud
49,LC82330172015204LGN00,61.1946416412629,-45.2003288269043,ice
50,LC80010172015211LGN00,61.1933182123979,-45.1932907104492,plume
51,LC80020172015218LGN00,61.196543972866,-45.2044486999511,plume
52,LC82330172015220LGN00,61.1954687560742,-45.1996421813964,ice
53,LC80010172015227LGN00,61.1956341764308,-45.2003288269043,ice
54,LC80020172015234LGN00,61.1953033348491,-45.2015304565429,ice
55,LC82330172015236LGN00,61.1959650145381,-45.2003288269043,ice
56,LC80020172015250LGN00,61.1957995959187,-45.2029037475585,cloud
57,LC82330172015252LGN00,61.1959650145381,-45.2030754089355,ice
58,LC80010172015259LGN00,61.1957995959187,-45.1982688903808,cloud
59,LC82330172015268LGN00,61.196543972866,-45.1992988586425,ice
60,LC80010172015275LGN00,61.1961304322889,-45.2010154724121,ice
